no,client,project,type,industry,desc,tags,image_url,image_hover,visible
1,미미박스,틱톡 틴트 립 캐시미어 런칭 캠페인,SNS · OOH,뷰티/패션,모델 황민현과 함께한 아임미미 틱톡 틴트 립 캐시미어 신제품 런칭 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/Immeme_00.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/Immeme_01.png?raw=true,Y
2,KT,시즌 seezn 런칭 옥외광고 캠페인,OOH,방송/미디어,OTT 서비스 시즌 seezn 런칭 옥외광고. 카피와 아이디어까지 직접 기획.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/25_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/25_1.png?raw=true,Y
3,SK케미칼,스카이셀플루 독감백신 통합 홍보물,Brochure · Leaflet,제약/의료,국내 최초 세포배양 독감백신 스카이셀플루의 제품 특장점을 담은 홍보물 시리즈.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/4_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/4_1.png?raw=true,Y
4,(주)신라보석,티르리르 브랜드 매거진 광고 캠페인,Print Ad · Brochure,뷰티/패션,모델 황민현과 함께한 아임미미 틱톡 틴트 립 캐시미어 신제품 런칭 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/5_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/5_1.png?raw=true,Y
5,엑소메디,엑소니아 셀 시그널 엑소좀 앰플 캠페인,Print Ad · Brochure,뷰티/패션,줄기세포 배양액 기반 엑소니아 엑소좀 앰플의 잡지 광고와 에디토리얼.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/8_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/8_1.png?raw=true,Y
6,토니모리,퍼펙트 립스 쇼킹립 캠페인,Poster · SNS,뷰티/패션,배우 권나라를 모델로 한 토니모리 퍼펙트 립스 쇼킹립 광고 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/9_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/9_1.png?raw=true,Y
7,토니모리,더촉촉 그린티 수분크림 캠페인,Poster · SNS,뷰티/패션,그룹 몬스타엑스를 모델로 한 토니모리 더촉촉 그린티 수분크림 광고 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/19_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/19_1.png?raw=true,Y
8,이수그룹,이수그룹 그룹웨어 리뉴얼 사내 캠페인,Poster · Motion,IT/보안,마이크로소프트 팀즈 연동 이수그룹 그룹웨어 리뉴얼 사내 캠페인.,Campaign,https://github.com/paybacktime236-tech/solutiond-website/blob/main/16_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/16_1.png?raw=true,Y
9,보령제약,시나롱정 제품 브로슈어,Brochure,제약/의료,고혈압 치료제 시나롱정의 의료진 대상 제품 상세 브로슈어.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/6_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/6_1.png?raw=true,Y
10,한국암웨이,아티스트리 2012 가을 컬렉션 룩북,Brochure,뷰티/패션,한국암웨이 아티스트리 2012 가을 컬렉션 Escape to Paradise 룩북.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/11_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/11_1.png?raw=true,Y
11,대성마이맥,대성인라이브 브랜드 컨셉 & 메인 키비주얼,Identity · Key Visual,교육,대성마이맥 대성인라이브의 브랜드 컨셉 슬로건 메인 키비주얼.,Branding,https://github.com/paybacktime236-tech/solutiond-website/blob/main/12_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/12_1.png?raw=true,Y
12,관악구,2021 관악다문화축제 통합 홍보물,Poster · Leaflet,공공/문화,세계시민으로 바뀌는 시간 2021 관악다문화축제 통합 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/%E1%84%80%E1%85%AA%E1%86%AB%E1%84%8B%E1%85%A1%E1%86%A8%E1%84%83%E1%85%A1%E1%84%86%E1%85%AE%E1%86%AB%E1%84%92%E1%85%AA%E1%84%8E%E1%85%AE%E1%86%A8%E1%84%8C%E1%85%A6_%E1%84%89%E1%85%A5%E1%86%B7%E1%84%82%E1%85%A6%E1%86%AF_1.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/%EA%B4%80%EC%95%85%EB%8B%A4%EB%AC%B8%ED%99%94%EC%B6%95%EC%A0%9C_%EC%9E%91%EC%97%85_1.png?raw=true,Y
13,관악구,2022 관악다문화축제 통합 홍보물,Poster · Leaflet,공공/문화,세계시민으로 바뀌는 시간 2022 관악다문화축제 통합 홍보물.,Promotion,https://github.com/paybacktime236-tech/solutiond-website/blob/main/14_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/14_1.png?raw=true,Y
14,딜라이브,딜라이브 통합 가이드북,Brochure,방송/미디어,VOD 넷플릭스 홈서비스까지 담은 딜라이브 케이블방송 통합 가이드북.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/7_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/7_1.png?raw=true,Y
15,KDI 정책대학원,KDI School 소개 브로슈어,Brochure,교육,KDI 국제정책대학원의 학교 소개 브로슈어.,Editorial,https://github.com/paybacktime236-tech/solutiond-website/blob/main/18_0.png?raw=true,https://github.com/paybacktime236-tech/solutiond-website/blob/main/18_1.png?raw=true,Y
